Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,Address_Line_1,Address_Line_2,Address_Town,Address_State,Address_Postcode,Postal_Address_Line_1,Postal_Address_Line_2,Postal_Town,Postal_State,Postal_Postcode,Full_Phone_No,Region,Area,LGA_ID,LGA_Name,LGA_TYPE,X,Y
Government,1,7081,Edgars Creek Secondary College,Secondary,O,2 Steen Avenue,,Wollert,VIC,3750,Macedon Pde and Edgars Rd,,Wollert,VIC,3750,03 9134 8200,NORTH-WESTERN VICTORIA,North Eastern Melbourne,707,Whittlesea (C),Metro,145.005071,-37.609492
Government,1,7082,Elevation Secondary College,Secondary,O,199 Elevation Boulevard,,Craigieburn,VIC,3064,PO Box 690,,Craigieburn,VIC,3064,03 8339 8000,NORTH-WESTERN VICTORIA,Hume Merri-bek,327,Hume (C),Metro,144.890252,-37.598288
Government,1,7086,Clyde Secondary College,Secondary,O,21 Fernlea Homestead Road,,Clyde,VIC,3978,21 Fernlea Homestead Road,,Clyde,VIC,3978,03 8560 0600,SOUTH-EASTERN VICTORIA,Southern Melbourne,161,Casey (C),Metro,145.338863,-38.129547
Government,1,7088,Cobden Technical School,Secondary,O,Mckenzie Street,,Cobden,VIC,3266,P O Box 106,,COBDEN,VIC,3266,03 5595 1202,SOUTH-WESTERN VICTORIA,Wimmera South West,183,Corangamite (S),Non Metro,143.0636059,-38.32403633
Government,1,7108,Lyndhurst Secondary College,Secondary,O,950 South Gippsland Highway,,Cranbourne,VIC,3977,P O Box 711,,CRANBOURNE,VIC,3977,03 5996 0144,SOUTH-EASTERN VICTORIA,Southern Melbourne,161,Casey (C),Metro,145.271028,-38.075386
Government,1,7115,Daylesford Secondary College,Secondary,O,39 Smith Street,,Daylesford,VIC,3460,P O Box 349,,DAYLESFORD,VIC,3460,03 5348 2367,SOUTH-WESTERN VICTORIA,Central Highlands,291,Hepburn (S),Non Metro,144.151851,-37.33466597
Government,1,7122,Dromana Secondary College,Secondary,O,110 Harrisons Road,,Dromana,VIC,3936,110 Harrisons Road,,DROMANA,VIC,3936,03 5987 2805,SOUTH-EASTERN VICTORIA,Bayside Peninsula,534,Mornington Peninsula (S),Metro,145.013582,-38.342636
Government,1,7183,Grovedale College,Secondary,O,19 Wingarra Drive,,Grovedale,VIC,3216,19 Wingarra Drive,,GROVEDALE,VIC,3216,03 5245 4545,SOUTH-WESTERN VICTORIA,Barwon,275,Greater Geelong (C),Non Metro,144.327441,-38.210399
Government,1,7198,Irymple Secondary College,Secondary,O,975 - 1011  Karadoc Ave,,Irymple,VIC,3498,975 - 1011  Karadoc Ave,,IRYMPLE,VIC,3498,03 5024 5407,NORTH-WESTERN VICTORIA,Mallee,478,Mildura (RC),Non Metro,142.1647031,-34.23232674
Government,1,7205,Crusoe 7-10 Secondary College,Secondary,O,57 - 75 Olympic Parade,,Kangaroo Flat,VIC,3555,"P O Box 1167,",,KANGAROO FLAT,VIC,3555,03 5447 7722,NORTH-WESTERN VICTORIA,Loddon Campaspe,262,Greater Bendigo (C),Non Metro,144.23367,-36.788647
Government,1,7217,Peter Lalor Secondary College,Secondary,O,2 Robert Street,,Lalor,VIC,3075,PO Box 1250,,EPPING,VIC,3076,03 9464 0122,NORTH-WESTERN VICTORIA,North Eastern Melbourne,707,Whittlesea (C),Metro,145.0126913,-37.66678514
Government,1,7219,Lilydale Heights College,Secondary,O,17-19 Nelson Road,,Lilydale,VIC,3140,17-19 Nelson Road,,Lilydale,VIC,3140,03 9735 1133,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,745,Yarra Ranges (S),Metro,145.3414068,-37.7458221
Government,1,7247,Staughton College,Secondary,O,Wilson Road,,Melton South,VIC,3338,P O Box 2344,,MELTON SOUTH,VIC,3338,03 9743 4622,SOUTH-WESTERN VICTORIA,Brimbank Melton,465,Melton (C),Metro,144.568689,-37.708365
Government,1,7250,Chaffey Secondary College,Secondary,O,261-289 Deakin Avenue,,Mildura,VIC,3500,P O Box 1610,,MILDURA,VIC,3502,03 5023 0538,NORTH-WESTERN VICTORIA,Mallee,478,Mildura (RC),Non Metro,142.147985,-34.19573
Government,1,7255,Bentleigh Secondary College,Secondary,O,4 Vivien St,,Bentleigh East,VIC,3165,P O Box 186,,BENTLEIGH EAST,VIC,3165,03 9579 1044,SOUTH-EASTERN VICTORIA,Bayside Peninsula,231,Glen Eira (C),Metro,145.059798,-37.927357
Government,1,7267,Mount Clear College,Secondary,O,59 Olympic Avenue,,Mount Clear,VIC,3353,59 Olympic Avenue,,BALLARAT,VIC,3350,03 5330 1500,SOUTH-WESTERN VICTORIA,Central Highlands,57,Ballarat (C),Non Metro,143.876673,-37.607965
Government,1,7275,Rosehill Secondary College,Secondary,O,33 Sapphire Street,,Niddrie,VIC,3042,33 Sapphire Street,,NIDDRIE,VIC,3042,03 9337 2488,SOUTH-WESTERN VICTORIA,Western Melbourne,506,Moonee Valley (C),Metro,144.886183,-37.746679
Government,1,7300,Northern College of the Arts and Technology,Secondary,O,62 Murray Road,,Preston,VIC,3072,P O Box 8041,,NORTHLAND,VIC,3072,03 9478 1333,NORTH-WESTERN VICTORIA,North Eastern Melbourne,189,Darebin (C),Metro,145.025372,-37.740069
Government,1,7366,Swinburne Senior Secondary College,Secondary,O,505 Burwood Road,,Hawthorn,VIC,3122,505 Burwood Rd,,HAWTHORN,VIC,3122,03 8862 4400,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,111,Boroondara (C),Metro,145.040821,-37.823135
Government,1,7384,Victorian College Of The Arts Secondary School,Secondary,O,57 Miles Street,,Southbank,VIC,3006,57 Miles Street,,SOUTHBANK,VIC,3006,03 8644 8644,SOUTH-WESTERN VICTORIA,Western Melbourne,460,Melbourne (C),Metro,144.964767,-37.828229
Government,1,7395,Brauer Secondary College,Secondary,O,Caramut Road,,Warrnambool,VIC,3280,P O Box 676,,Warrnambool,VIC,3280,03 5560 3888,SOUTH-WESTERN VICTORIA,Wimmera South West,673,Warrnambool (C),Non Metro,142.458924,-38.358714
Government,1,7402,Wyndham Central Secondary College,Secondary,O,101 Shaws Road,,Werribee,VIC,3030,P O Box 304,,WERRIBEE,VIC,3030,03 8744 8900,SOUTH-WESTERN VICTORIA,Western Melbourne,726,Wyndham (C),Metro,144.65385,-37.888932
Government,1,7405,Weeroona College Bendigo,Secondary,O,383 Napier Street,,Bendigo,VIC,3550,PO Box 566,,BENDIGO,VIC,3552,03 5443 2133,NORTH-WESTERN VICTORIA,Loddon Campaspe,262,Greater Bendigo (C),Non Metro,144.29798,-36.73893
Government,1,7408,Whittlesea Secondary College,Secondary,O,55 Laurel Street,,Whittlesea,VIC,3757,PO Box 54,,WHITTLESEA,VIC,3757,03 9719 1200,NORTH-WESTERN VICTORIA,North Eastern Melbourne,707,Whittlesea (C),Metro,145.1201751,-37.5150463
Government,1,7500,Yarrabing Secondary College,Secondary,O,40 Recreation Road,,Aintree,VIC,3336,40 Recreation Road,,Aintree,VIC,3336,03 7033 2444,SOUTH-WESTERN VICTORIA,Brimbank Melton,465,Melton (C),Metro,144.664788,-37.712027
Government,1,7505,Alexandra Secondary College,Secondary,O,Downey Street,,Alexandra,VIC,3714,Private Bag 1,,ALEXANDRA,VIC,3714,03 5770 2000,NORTH-EASTERN VICTORIA,Goulburn,562,Murrindindi (S),Non Metro,145.701477,-37.19449
Government,1,7526,Auburn High School,Secondary,O,26 Burgess Street,,Hawthorn East,VIC,3123,26 Burgess Street,,Hawthorn East,VIC,3123,03 9822 3247,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,111,Boroondara (C),Metro,145.045067,-37.83988
Government,1,7540,Ballarat High School,Secondary,O,1726 Sturt Street,,LAKE GARDENS,VIC,3355,1726 Sturt Street,,LAKE GARDENS,VIC,3355,03 5338 9000,SOUTH-WESTERN VICTORIA,Central Highlands,57,Ballarat (C),Non Metro,143.818213,-37.554522
Government,1,7550,Balwyn High School,Secondary,O,Buchanan Avenue,,Balwyn North,VIC,3104,Buchanan Avenue,,BALWYN NORTH,VIC,3104,03 9819 7911,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,111,Boroondara (C),Metro,145.0767724,-37.79785922
Government,1,7560,Bayswater Secondary College,Secondary,O,14 Orchard Road,,Bayswater,VIC,3153,14 Orchard Road,,BAYSWATER,VIC,3153,03 8720 7555,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,367,Knox (C),Metro,145.261998,-37.83903
Government,1,7565,Beaufort Secondary College,Secondary,O,1/37 Park Road,,Beaufort,VIC,3373,P O Box 38,,Beaufort,VIC,3373,03 5349 2305,SOUTH-WESTERN VICTORIA,Central Highlands,599,Pyrenees (S),Non Metro,143.382486,-37.438844
Government,1,7566,Beaumaris Secondary College,Secondary,O,117 - 135 Reserve Road,,Beaumaris,VIC,3193,P O BOX 7079,,Beaumaris,VIC,3193,03 8569 9200,SOUTH-EASTERN VICTORIA,Bayside Peninsula,91,Bayside (C),Metro,145.034078,-37.978396
Government,1,7575,Beechworth Secondary College,Secondary,O,85 Balaclava Road,,Beechworth,VIC,3747,P O Box 21,,Beechworth,VIC,3747,03 5728 1264,NORTH-EASTERN VICTORIA,Ovens Murray,335,Indigo (S),Non Metro,146.690764,-36.34722
Government,1,7585,Belmont High School,Secondary,O,12-36 Rotherham Street,,Belmont,VIC,3216,12-36 Rotherham Street,,BELMONT,VIC,3216,03 5243 5355,SOUTH-WESTERN VICTORIA,Barwon,275,Greater Geelong (C),Non Metro,144.330562,-38.175654
Government,1,7595,Bendigo Senior Secondary College,Secondary,O,40 Gaol Road,,Bendigo,VIC,3550,P O Box 545,,BENDIGO,VIC,3552,03 5443 1222,NORTH-WESTERN VICTORIA,Loddon Campaspe,262,Greater Bendigo (C),Non Metro,144.279278,-36.755301
Government,1,7603,Berwick Secondary College,Secondary,O,65-69 Manuka Road,,Berwick,VIC,3806,65-69 Manuka Road,,BERWICK,VIC,3806,03 8768 1000,SOUTH-EASTERN VICTORIA,Southern Melbourne,161,Casey (C),Metro,145.365438,-38.031398
Government,1,7610,Blackburn High School,Secondary,O,60 Springfield Road,,Blackburn,VIC,3130,60 Springfield Road,,BLACKBURN,VIC,3130,03 8804 6464,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,698,Whitehorse (C),Metro,145.149893,-37.81037
Government,1,7635,Box Hill High School,Secondary,O,1180 Whitehorse Road,,Box Hill,VIC,3128,1180 Whitehorse Road,,BOX HILL,VIC,3128,03 9877 1177,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,698,Whitehorse (C),Metro,145.137208,-37.820003
Government,1,7645,Braybrook College,Secondary,O,352 Ballarat Road,,Braybrook,VIC,3019,352 Ballarat Road,,BRAYBROOK,VIC,3019,03 9312 2900,SOUTH-WESTERN VICTORIA,Western Melbourne,433,Maribyrnong (C),Metro,144.847537,-37.778257
Government,1,7647,Brentwood Secondary College,Secondary,O,65-71 Watsons Road,,Glen Waverley,VIC,3150,65-71 Watsons Road,,GLEN WAVERLEY,VIC,3150,03 8545 0300,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,497,Monash (C),Metro,145.1663432,-37.89950842
Government,1,7650,Brighton Secondary College,Secondary,O,120 Marriage Road,,Brighton East,VIC,3187,120 Marriage Road,,BRIGHTON EAST,VIC,3187,03 9592 7488,SOUTH-EASTERN VICTORIA,Bayside Peninsula,91,Bayside (C),Metro,145.019119,-37.920156
Government,1,7655,Broadford Secondary College,Secondary,O,2-12 Pinniger Street,,Broadford,VIC,3658,P O Box 108,,BROADFORD,VIC,3658,03 5784 1200,NORTH-EASTERN VICTORIA,Goulburn,485,Mitchell (S),Non Metro,145.040033,-37.204375
Government,1,7670,Buckley Park College,Secondary,O,59-99 Cooper Street,,Essendon,VIC,3040,59-99 Cooper Street,,ESSENDON,VIC,3040,03 9331 9999,SOUTH-WESTERN VICTORIA,Western Melbourne,506,Moonee Valley (C),Metro,144.897755,-37.747117
Government,1,7680,Camberwell High School,Secondary,O,Prospect Hill Road,,Canterbury,VIC,3126,Prospect Hill Road,,CANTERBURY,VIC,3126,03 9836 0555,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,111,Boroondara (C),Metro,145.072821,-37.830151
Government,1,7690,Canterbury Girls Secondary College,Secondary,O,16 Mangarra Road,,Canterbury,VIC,3126,16 Mangarra Road,,CANTERBURY,VIC,3126,03 9830 5099,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,111,Boroondara (C),Metro,145.069102,-37.820289
Government,1,7695,Casterton Secondary College,Secondary,O,27 Mt Gambier Road,,Casterton,VIC,3311,27 Mt.Gambier Road,,CASTERTON,VIC,3311,03 5581 1588,SOUTH-WESTERN VICTORIA,Wimmera South West,241,Glenelg (S),Non Metro,141.387493,-37.588796
Government,1,7720,Cheltenham Secondary College,Secondary,O,73-75 Bernard Street,,Cheltenham,VIC,3192,P O Box 109,,MOORABBIN,VIC,3189,03 9555 5955,SOUTH-EASTERN VICTORIA,Bayside Peninsula,343,Kingston (C),Metro,145.068676,-37.953762
Government,1,7724,Wulerrp Secondary College,Secondary,O,560 Soldiers Road,,Clyde North,VIC,3978,560 Soldiers Road,,Clyde North,VIC,3978,03 5929 2979,SOUTH-EASTERN VICTORIA,Southern Melbourne,161,Casey (C),Metro,145.36665,-38.091026
Government,1,7725,Cobram Secondary College,Secondary,O,25-47 Warkil Street,,Cobram,VIC,3644,P O Box 387,,COBRAM,VIC,3644,03 5871 1700,NORTH-EASTERN VICTORIA,Goulburn,490,Moira (S),Non Metro,145.654121,-35.913605
Government,1,7735,Cohuna Secondary College,Secondary,O,6415 Murray Valley Highway,,Cohuna,VIC,3568,P O Box 273,,COHUNA,VIC,3568,03 5456 2555,NORTH-WESTERN VICTORIA,Mallee,225,Gannawarra (S),Non Metro,144.226425,-35.813503
Government,1,7747,Cranbourne Secondary College,Secondary,O,Stawell Street,,Cranbourne,VIC,3977,Stawell Street,,CRANBOURNE,VIC,3977,03 5996 3544,SOUTH-EASTERN VICTORIA,Southern Melbourne,161,Casey (C),Metro,145.286136,-38.107591
Government,1,7748,Cranbourne West Secondary College,Secondary,O,80 Strathlea Drive,,Cranbourne West,VIC,3977,80 Strathlea Drive,,Cranbourne West,VIC,3977,03 9770 7200,SOUTH-EASTERN VICTORIA,Southern Melbourne,161,Casey (C),Metro,145.246512,-38.10672
Government,1,7757,Croydon Community School,Secondary,O,61-77 Croydon Road,,Croydon,VIC,3136,P O Box 239,,Croydon,VIC,3136,03 9724 2900,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,441,Maroondah (C),Metro,145.281261,-37.78935
Government,1,7763,Mount Alexander 7-12 College,Secondary,O,78 Wellington Street,,Flemington,VIC,3031,78 Wellington Street,,FLEMINGTON,VIC,3031,03 9376 1622,SOUTH-WESTERN VICTORIA,Western Melbourne,506,Moonee Valley (C),Metro,144.933235,-37.782154
Government,1,7770,Dimboola Memorial Secondary College,Secondary,O,66 Ellerman Street,,Dimboola,VIC,3414,P O Box 40,,DIMBOOLA,VIC,3414,03 5389 1460,SOUTH-WESTERN VICTORIA,Wimmera South West,298,Hindmarsh (S),Non Metro,142.034409,-36.449839
Government,1,7773,East Doncaster Secondary College,Secondary,O,20 George Street,,Doncaster East,VIC,3109,20 George Street,,DONCASTER EAST,VIC,3109,03 9842 2244,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,421,Manningham (C),Metro,145.158557,-37.782127
Government,1,7775,Donald High School,Secondary,O,2-16 Camp Street,,Donald,VIC,3480,P O Box 138,,DONALD,VIC,3480,03 5497 1205,SOUTH-WESTERN VICTORIA,Wimmera South West,127,Buloke (S),Non Metro,142.973962,-36.370779
Government,1,7776,Doncaster Secondary College,Secondary,O,123 Church Road,,Doncaster,VIC,3108,123 CHURCH ROAD,,DONCASTER,VIC,3108,03 9848 4677,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,421,Manningham (C),Metro,145.138053,-37.784581
Government,1,7785,Drouin Secondary College,Secondary,O,South Road,,Drouin,VIC,3818,P O BOX 338,,DROUIN,VIC,3818,03 5625 1002,SOUTH-EASTERN VICTORIA,Inner Gippsland,83,Baw Baw (S),Non Metro,145.850978,-38.144659
Government,1,7790,Eaglehawk Secondary College,Secondary,O,1-3 Reserve Street,,Eaglehawk,VIC,3556,P O Box 146,,EAGLEHAWK,VIC,3556,03 5446 8099,NORTH-WESTERN VICTORIA,Loddon Campaspe,262,Greater Bendigo (C),Non Metro,144.261627,-36.720062
Government,1,7805,Eltham High School,Secondary,O,30-60 Withers Way,,Eltham,VIC,3095,30-60 Withers Way,,ELTHAM,VIC,3095,03 9430 5111,NORTH-WESTERN VICTORIA,North Eastern Melbourne,571,Nillumbik (S),Metro,145.141725,-37.724436
Government,1,7810,Elwood College,Secondary,O,101 Glenhuntly Road,,Elwood,VIC,3184,101 Glenhuntly Road,,ELWOOD,VIC,3184,03 9531 9566,SOUTH-EASTERN VICTORIA,Bayside Peninsula,590,Port Phillip (C),Metro,144.985203,-37.88232
Government,1,7813,Epping Secondary College,Secondary,O,Mcdonalds Road,,Epping,VIC,3076,McDonalds Road,,EPPING,VIC,3076,03 9401 2599,NORTH-WESTERN VICTORIA,North Eastern Melbourne,707,Whittlesea (C),Metro,145.033426,-37.644001
Government,1,7820,Euroa Secondary College,Secondary,O,26 Campbell St,,Euroa,VIC,3666,P O Box 63,,EUROA,VIC,3666,03 5795 2512,NORTH-EASTERN VICTORIA,Goulburn,643,Strathbogie (S),Non Metro,145.5648,-36.758203
Government,1,7823,Fairhills High School,Secondary,O,330 Scoresby Road,,Knoxfield,VIC,3180,P O Box 226,,FERNTREE GULLY,VIC,3156,03 9758 5022,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,367,Knox (C),Metro,145.259037,-37.87321
Government,1,7837,Bendigo South East 7-10 Secondary College,Secondary,O,Ellis Street,,Bendigo,VIC,3550,P O Box 15,,Strathdale,VIC,3550,03 5443 4522,NORTH-WESTERN VICTORIA,Loddon Campaspe,262,Greater Bendigo (C),Non Metro,144.297592,-36.775789
Government,1,7839,Port Melbourne Secondary College,Secondary,O,477 Graham Street,,Port Melbourne,VIC,3207,477 Graham Street,,Port Melbourne,VIC,3207,03 9113 3500,SOUTH-EASTERN VICTORIA,Bayside Peninsula,590,Port Phillip (C),Metro,144.932045,-37.832013
Government,1,7842,Footscray High School,Secondary,O,1 Kinnear Street,,Footscray,VIC,3011,1 Kinnear Street,,Footscray,VIC,3011,03 9112 9500,SOUTH-WESTERN VICTORIA,Western Melbourne,433,Maribyrnong (C),Metro,144.8937633,-37.79104291
Government,1,7845,Foster Secondary College,Secondary,O,2-10 Pioneer Street,,Foster,VIC,3960,PO Box 23,,FOSTER,VIC,3960,03 5682 2066,SOUTH-EASTERN VICTORIA,Inner Gippsland,617,South Gippsland (S),Non Metro,146.197413,-38.651737
Government,1,7850,Frankston High School,Secondary,O,97 Foot Street,,Frankston,VIC,3199,97 Foot Street,,FRANKSTON,VIC,3199,03 9783 7955,SOUTH-EASTERN VICTORIA,Bayside Peninsula,217,Frankston (C),Metro,145.128951,-38.1621885
Government,1,7855,Geelong High School,Secondary,O,385 Ryrie Street,,East Geelong,VIC,3219,385 Ryrie Street,,EAST GEELONG,VIC,3219,03 5225 4100,SOUTH-WESTERN VICTORIA,Barwon,275,Greater Geelong (C),Non Metro,144.373726,-38.153026
Government,1,7856,North Geelong Secondary College,Secondary,O,86-132 Separation Street,,North Geelong,VIC,3215,86 - 132  Separation St,,NORTH GEELONG,VIC,3215,03 5240 5800,SOUTH-WESTERN VICTORIA,Barwon,275,Greater Geelong (C),Non Metro,144.340792,-38.109956
Government,1,7857,Gisborne Secondary College,Secondary,O,95 Melton Road,,Gisborne,VIC,3437,P O Box 57,,GISBORNE,VIC,3437,03 5428 3691,NORTH-WESTERN VICTORIA,Loddon Campaspe,413,Macedon Ranges (S),Non Metro,144.5847741,-37.49811364
Government,1,7858,Gladstone Park Secondary College,Secondary,O,14 - 36 Taylor Drive,,Gladstone Park,VIC,3043,14 - 36 Taylor Drive,,GLADSTONE PARK,VIC,3043,03 9933 0500,NORTH-WESTERN VICTORIA,Hume Merri-bek,327,Hume (C),Metro,144.890003,-37.689766
Government,1,7874,Bundoora Secondary College,Secondary,O,53 Balmoral Avenue,,Bundoora,VIC,3083,P O Box 68,,BUNDOORA,VIC,3083,03 9467 1511,NORTH-WESTERN VICTORIA,North Eastern Melbourne,66,Banyule (C),Metro,145.061977,-37.707501
Government,1,7876,Greater Shepparton Secondary College,Secondary,O,31-71 Hawdon Street,,Shepparton,VIC,3630,P O Box 4010,,Shepparton,VIC,3632,03 5891 2000,NORTH-EASTERN VICTORIA,Goulburn,283,Greater Shepparton (C),Non Metro,145.415396,-36.372067
Government,1,7893,Western Port Secondary College,Secondary,O,215 High Street,,Hastings,VIC,3915,"P O Box 101, 215 HIGH STREET",,HASTINGS,VIC,3915,03 5979 1577,SOUTH-EASTERN VICTORIA,Bayside Peninsula,534,Mornington Peninsula (S),Metro,145.176383,-38.308172
Government,1,7900,Healesville High School,Secondary,O,10 Camerons Road,,Healesville,VIC,3777,10 Camerons Road,,HEALESVILLE,VIC,3777,03 5962 4088,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,745,Yarra Ranges (S),Metro,145.530807,-37.643586
Government,1,7910,Heywood District Secondary College,Secondary,O,Gorrie Street,,Heywood,VIC,3304,P O Box 180,,HEYWOOD,VIC,3304,03 5527 1303,SOUTH-WESTERN VICTORIA,Wimmera South West,241,Glenelg (S),Non Metro,141.6204999,-38.12926753
Government,1,7918,Highvale Secondary College,Secondary,O,Capital Avenue,,Glen Waverley,VIC,3150,Capital Avenue,,GLEN WAVERLEY,VIC,3150,03 9803 5144,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,497,Monash (C),Metro,145.17682,-37.865409
Government,1,7945,Kerang Technical High School,Secondary,O,Murray St,,Kerang,VIC,3579,P O Box 201,,KERANG,VIC,3579,03 5452 1062,NORTH-WESTERN VICTORIA,Mallee,225,Gannawarra (S),Non Metro,143.913802,-35.725651
Government,1,7947,Kensington Community High School,Secondary,O,405 Racecourse Rd,,Kensington,VIC,3031,P O Box 321,,FLEMINGTON,VIC,3031,03 9376 1953,SOUTH-WESTERN VICTORIA,Western Melbourne,460,Melbourne (C),Metro,144.925577,-37.787909
Government,1,7950,Kew High School,Secondary,O,1393 Burke Road,,Kew East,VIC,3102,1393 Burke Road,,KEW EAST,VIC,3102,03 9092 7500,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,111,Boroondara (C),Metro,145.063358,-37.795546
Government,1,7954,Koonung Secondary College,Secondary,O,68 Box Hill Crescent,,Mont Albert North,VIC,3129,68 Box Hill Crescent,,MONT ALBERT NORTH,VIC,3129,03 9890 9662,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,698,Whitehorse (C),Metro,145.117561,-37.80219
Government,1,7955,Koo Wee Rup Secondary College,Secondary,O,345-357 Rossiter Road,,Koo Wee Rup,VIC,3981,P O Box 30,,KOO WEE RUP,VIC,3981,03 5997 1444,SOUTH-EASTERN VICTORIA,Southern Melbourne,145,Cardinia (S),Metro,145.495779,-38.197091
Government,1,7960,Korumburra Secondary College,Secondary,O,125 Jumbunna Road,,Korumburra,VIC,3950,Private Bag 2,,KORUMBURRA,VIC,3950,03 5655 1566,SOUTH-EASTERN VICTORIA,Inner Gippsland,617,South Gippsland (S),Non Metro,145.8039,-38.44387
Government,1,7965,Kyabram P-12 College,Pri/Sec,O,57 Fischer Street,,Kyabram,VIC,3620,P O Box 384,,KYABRAM,VIC,3619,03 5851 2100,NORTH-WESTERN VICTORIA,Loddon Campaspe,137,Campaspe (S),Non Metro,145.056207,-36.317476
Government,1,7970,Kyneton High School,Secondary,O,1-9 Epping Street,,Kyneton,VIC,3444,1-9 Epping St,,KYNETON,VIC,3444,03 5421 1100,NORTH-WESTERN VICTORIA,Loddon Campaspe,413,Macedon Ranges (S),Non Metro,144.4581707,-37.25132966
Government,1,7985,Lalor Secondary College,Secondary,O,118 David Street,,Lalor,VIC,3075,P O Box 1015,,LALOR,VIC,3075,03 9463 7300,NORTH-WESTERN VICTORIA,North Eastern Melbourne,707,Whittlesea (C),Metro,145.0306228,-37.67265939
Government,1,7986,Lalor North Secondary College,Secondary,O,114 Childs Road,,Epping,VIC,3076,114 Childs Road,,EPPING,VIC,3076,03 9401 3888,NORTH-WESTERN VICTORIA,North Eastern Melbourne,707,Whittlesea (C),Metro,145.034124,-37.660767
Government,1,7995,Lilydale High School,Secondary,O,25 Melba Avenue,,Lilydale,VIC,3140,25 Melba Ave,,LILYDALE,VIC,3140,03 9735 5644,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,745,Yarra Ranges (S),Metro,145.343917,-37.760697
Government,1,7996,Walcom Ngarrwa Secondary College,Secondary,O,20 Frome Crescent,,Werribee,VIC,3030,20 Frome Crescent,,Werribee,VIC,3030,03 8000 6688,SOUTH-WESTERN VICTORIA,Western Melbourne,726,Wyndham (C),Metro,144.602155,-37.90708
Government,1,7997,Lorne P-12 College,Pri/Sec,O,15 Grove Road,,Lorne,VIC,3232,P O Box 39,,Lorne P-12 College,VIC,3232,03 5289 1585,SOUTH-WESTERN VICTORIA,Barwon,649,Surf Coast (S),Non Metro,143.9738904,-38.53917804
Government,1,8000,Lyndale Secondary College,Secondary,O,14 Halton Road,,Dandenong North,VIC,3175,P O Box 2684,,DANDENONG NORTH,VIC,3175,03 9795 2366,SOUTH-EASTERN VICTORIA,Southern Melbourne,267,Greater Dandenong (C),Metro,145.206712,-37.958765
Government,1,8003,Bindjiroo Yaluk Community School,Secondary,O,7 Gleadell Street,,Richmond,VIC,3121,P O Box 99,,RICHMOND,VIC,3121,03 9428 4421,NORTH-WESTERN VICTORIA,North Eastern Melbourne,735,Yarra (C),Metro,145.002257,-37.816477
Government,1,8005,Maffra Secondary College,Secondary,O,Bill Cane Court,,Maffra,VIC,3860,Bill Cane Court,,MAFFRA,VIC,3860,03 5147 1790,SOUTH-EASTERN VICTORIA,Outer Gippsland,681,Wellington (S),Non Metro,146.982424,-37.964888
Government,1,8010,Mansfield Secondary College,Secondary,O,15 View Street,,Mansfield,VIC,3722,P O Box 203,,MANSFIELD,VIC,3724,03 5775 2022,NORTH-EASTERN VICTORIA,Ovens Murray,425,Mansfield (S),Non Metro,146.088565,-37.062676
Government,1,8015,Maribyrnong College,Secondary,O,Gordon Street,,Maribyrnong,VIC,3032,Gordon Street,,MARIBYRNONG,VIC,3032,03 9091 8100,SOUTH-WESTERN VICTORIA,Western Melbourne,433,Maribyrnong (C),Metro,144.888234,-37.779315
Government,1,8022,Matthew Flinders Girls Secondary College,Secondary,O,2 Little Ryrie Street,,Geelong,VIC,3220,P O Box 1285,,GEELONG,VIC,3220,03 4243 0500,SOUTH-WESTERN VICTORIA,Barwon,275,Greater Geelong (C),Non Metro,144.353208,-38.149587
Government,1,8025,Melbourne High School,Secondary,O,Forrest Hill,,South Yarra,VIC,3141,Forrest Hill,,SOUTH YARRA,VIC,3141,03 9826 0711,SOUTH-EASTERN VICTORIA,Bayside Peninsula,635,Stonnington (C),Metro,144.995314,-37.836829
Government,1,8027,Melton Secondary College,Secondary,O,Coburns Road,,Melton,VIC,3337,P O Box 597,,MELTON,VIC,3337,03 9743 3322,SOUTH-WESTERN VICTORIA,Brimbank Melton,465,Melton (C),Metro,144.568216,-37.681753
Government,1,8030,Mentone Girls Secondary College,Secondary,O,175 Balcombe Road,,Mentone,VIC,3194,P O Box 52,,MENTONE,VIC,3194,03 9581 5200,SOUTH-EASTERN VICTORIA,Bayside Peninsula,343,Kingston (C),Metro,145.053504,-37.980182
