Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,Address_Line_1,Address_Line_2,Address_Town,Address_State,Address_Postcode,Postal_Address_Line_1,Postal_Address_Line_2,Postal_Town,Postal_State,Postal_Postcode,Full_Phone_No,Region,Area,LGA_ID,LGA_Name,LGA_TYPE,X,Y
Catholic,2,1657,St Monica's College,Secondary,O,16 Davisson Street,,EPPING,VIC,3076,Augustine House,400 Dalton Road,EPPING,VIC,3076,03 9409 8800,NORTH-WESTERN VICTORIA,North Eastern Melbourne,707,Whittlesea (C),Metro,145.031414,-37.655184
Catholic,2,1661,Mercy College,Secondary,O,760 Sydney Road,,COBURG,VIC,3058,760 Sydney Road,,COBURG,VIC,3058,03 9319 9299,NORTH-WESTERN VICTORIA,Hume Merri-bek,525,Merri-bek (C),Metro,144.964562,-37.730398
Catholic,2,1670,John Paul College,Secondary,O,165 Mc Mahons Road,,FRANKSTON,VIC,3199,PO Box 3105,,FRANKSTON EAST,VIC,3199,03 9784 0200,SOUTH-EASTERN VICTORIA,Bayside Peninsula,217,Frankston (C),Metro,145.138867,-38.13557
Catholic,2,1673,Mazenod College,Secondary,O,Kernot Ave,,MULGRAVE,VIC,3170,PO Box 286,,MULGRAVE,VIC,3170,03 9560 0911,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,497,Monash (C),Metro,145.166144,-37.915204
Catholic,2,1684,MacKillop Catholic Regional College,Secondary,O,1 Russell Street,,WERRIBEE,VIC,3030,PO Box 522,,WERRIBEE,VIC,3030,03 8734 5200,SOUTH-WESTERN VICTORIA,Western Melbourne,726,Wyndham (C),Metro,144.6651016,-37.90950211
Catholic,2,1694,Marian College,Secondary,O,11-49 Prince Street,,MYRTLEFORD,VIC,3737,PO Box 215,,MYRTLEFORD,VIC,3737,03 5752 1596,NORTH-EASTERN VICTORIA,Ovens Murray,11,Alpine (S),Non Metro,146.72536,-36.55334
Catholic,2,1744,Galen Catholic College,Secondary,O,College Street,,WANGARATTA,VIC,3677,PO Box 630,,WANGARATTA,VIC,3676,03 5721 6322,NORTH-EASTERN VICTORIA,Ovens Murray,670,Wangaratta (RC),Non Metro,146.310537,-36.338747
Catholic,2,1765,Catholic Regional College St Albans,Secondary,O,10 Theodore Street,,ST ALBANS,VIC,3021,PO Box 252,,ST ALBANS,VIC,3021,03 9366 2544,SOUTH-WESTERN VICTORIA,Brimbank Melton,118,Brimbank (C),Metro,144.799086,-37.738892
Catholic,2,1766,St Francis Xavier College,Secondary,O,4 Beaconsfield Avenue,,BEACONSFIELD,VIC,3807,PO Box 85,,BEACONSFIELD,VIC,3807,03 9707 3111,SOUTH-EASTERN VICTORIA,Southern Melbourne,145,Cardinia (S),Metro,145.373106,-38.052002
Catholic,2,1800,Catholic College Wodonga,Secondary,O,1 Bowman Court,,WODONGA,VIC,3690,PO Box 591,,WODONGA,VIC,3689,02 6043 5500,NORTH-EASTERN VICTORIA,Ovens Murray,717,Wodonga (C),Non Metro,146.8623901,-36.12961895
Catholic,2,1801,Caroline Chisholm Catholic College,Secondary,O,204 Churchill Avenue,,BRAYBROOK,VIC,3019,204 Churchill Avenue,,BRAYBROOK,VIC,3019,03 9296 5311,SOUTH-WESTERN VICTORIA,Western Melbourne,433,Maribyrnong (C),Metro,144.8501,-37.785858
Catholic,2,1810,Loyola College,Secondary,O,325 Grimshaw Street,,WATSONIA,VIC,3087,325 Grimshaw Street,,WATSONIA,VIC,3087,03 9434 4466,NORTH-WESTERN VICTORIA,North Eastern Melbourne,66,Banyule (C),Metro,145.08073,-37.703396
Catholic,2,1811,St Francis Catholic College,Secondary,O,109-141 Bulman's Road,,MELTON,VIC,3337,PO Box 530,,MELTON,VIC,3337,03 8099 6000,SOUTH-WESTERN VICTORIA,Brimbank Melton,465,Melton (C),Metro,144.550411,-37.677246
Catholic,2,1834,Catholic Regional College Institute of Training,Secondary,O,380 Sydenham Road,,SYDENHAM,VIC,3037,380 Sydenham Road,,SYDENHAM,VIC,3037,03 9361 0000,SOUTH-WESTERN VICTORIA,Brimbank Melton,118,Brimbank (C),Metro,144.771012,-37.699136
Catholic,2,1835,Catholic Regional College North Keilor,Secondary,O,Santa Monica Drive,,KEILOR NORTH,VIC,3036,PO Box 40,,TAYLORS LAKES,VIC,3038,03 9361 5900,SOUTH-WESTERN VICTORIA,Brimbank Melton,118,Brimbank (C),Metro,144.805062,-37.699943
Catholic,2,1899,Nazareth College,Secondary,O,Manning Drive,,NOBLE PARK NORTH,VIC,3174,PO Box 1289,,WAVERLEY GARDENS,VIC,3170,03 9795 8100,SOUTH-EASTERN VICTORIA,Southern Melbourne,267,Greater Dandenong (C),Metro,145.195459,-37.940226
Catholic,2,1903,Mary MacKillop Catholic Regional College,Secondary,O,115 Horn Street,,LEONGATHA,VIC,3953,Private Bag 7,,LEONGATHA,VIC,3953,03 5662 4255,SOUTH-EASTERN VICTORIA,Inner Gippsland,617,South Gippsland (S),Non Metro,145.963538,-38.466733
Catholic,2,1917,St Mary MacKillop College,Secondary,O,53 McCrae Street,,SWAN HILL,VIC,3585,PO Box 971,,SWAN HILL,VIC,3585,03 5032 9771,NORTH-WESTERN VICTORIA,Mallee,661,Swan Hill (RC),Non Metro,143.556795,-35.341915
Catholic,2,1920,St Peter's College,Secondary,O,1005 Cranbourne-Frankston Road,,CRANBOURNE,VIC,3977,PO Box 615,,CRANBOURNE,VIC,3977,03 5990 7777,SOUTH-EASTERN VICTORIA,Southern Melbourne,161,Casey (C),Metro,145.256866,-38.108411
Catholic,2,1949,Penola Catholic College,Secondary,O,29 GIbson Street,,BROADMEADOWS,VIC,3047,PO Box 637,,GLENROY,VIC,3046,03 9301 2777,NORTH-WESTERN VICTORIA,Hume Merri-bek,327,Hume (C),Metro,144.918263,-37.687856
Catholic,2,1962,Thomas Carr College,Secondary,O,35 Thomas Carr Drive,,TARNEIT,VIC,3029,35 Thomas Carr Drive,,TARNEIT,VIC,3029,03 8734 2444,SOUTH-WESTERN VICTORIA,Western Melbourne,726,Wyndham (C),Metro,144.702055,-37.847676
Catholic,2,2001,Lavalla Catholic College,Secondary,O,33 Kosciusko Street,,TRARALGON,VIC,3844,PO Box 1080,,TRARALGON,VIC,3844,03 5174 5272,SOUTH-EASTERN VICTORIA,Inner Gippsland,381,Latrobe (C),Non Metro,146.514247,-38.200895
Catholic,2,2010,Antonine College,Pri/Sec,O,71 Grandview Avenue,,PASCOE VALE SOUTH,VIC,3044,PO Box 197,,MORELAND,VIC,3058,03 9354 1377,NORTH-WESTERN VICTORIA,Hume Merri-bek,525,Merri-bek (C),Metro,144.9427365,-37.74119138
Catholic,2,2032,Marymede Catholic College,Pri/Sec,O,60 Williamsons Road,,SOUTH MORANG,VIC,3752,60 Williamsons Road,,SOUTH MORANG,VIC,3752,03 9407 9000,NORTH-WESTERN VICTORIA,North Eastern Melbourne,707,Whittlesea (C),Metro,145.091027,-37.643315
Catholic,2,2044,Catholic Regional College Caroline Springs,Secondary,O,10 College Street,,CAROLINE SPRINGS,VIC,3023,PO Box 3198,,CAROLINE SPRINGS,VIC,3023,03 9217 8000,SOUTH-WESTERN VICTORIA,Brimbank Melton,465,Melton (C),Metro,144.739602,-37.728879
Catholic,2,2051,Kolbe Catholic College,Secondary,O,Lysterfield Drive,,GREENVALE LAKES,VIC,3059,PO Box 480,,CRAIGIEBURN,VIC,3064,03 8339 3060,NORTH-WESTERN VICTORIA,Hume Merri-bek,327,Hume (C),Metro,144.909467,-37.615321
Catholic,2,2098,Marist College Bendigo,Pri/Sec,O,95 Golf Links Road,,MAIDEN GULLY,VIC,3551,39 Patas Road,,MAIDEN GULLY,VIC,3551,03 5400 1252,NORTH-WESTERN VICTORIA,Loddon Campaspe,262,Greater Bendigo (C),Non Metro,144.2216905,-36.73171249
Catholic,2,2224,St Anne's College,Pri/Sec,O,72 Wendouree Drive,,KIALLA,VIC,3631,72 Wendouree Drive,,KIALLA,VIC,3631,03 4812 2993,NORTH-EASTERN VICTORIA,Goulburn,283,Greater Shepparton (C),Non Metro,145.400337,-36.436121
Catholic,2,2231,Iona College Geelong,Secondary,O,242-280 Horseshoe Bend Road,,CHARLEMONT,VIC,3217,242-280 Horseshoe Bend Road,,CHARLEMONT,VIC,3217,03 5299 0004,SOUTH-WESTERN VICTORIA,Barwon,275,Greater Geelong (C),Non Metro,144.356711,-38.219125
Catholic,2,2240,Ignatius Learning Centre,Secondary,O,326 Church Street,,RICHMOND,VIC,3121,326 Church Street,,RICHMOND,VIC,3121,03-,NORTH-WESTERN VICTORIA,North Eastern Melbourne,735,Yarra (C),Metro,144.998477,-37.821915
Government,1,776,Bright P-12 College,Pri/Sec,O,46 Bakers Gully Road,,Bright,VIC,3741,P O Box 30,,BRIGHT,VIC,3741,03 5755 1166,NORTH-EASTERN VICTORIA,Ovens Murray,11,Alpine (S),Non Metro,146.960928,-36.733105
Government,1,854,Lake Bolac College,Pri/Sec,O,90 Montgomery Street,,Lake Bolac,VIC,3351,90 Montgomery Street,,LAKE BOLAC,VIC,3351,03 5350 2302,SOUTH-WESTERN VICTORIA,Central Highlands,26,Ararat (RC),Non Metro,142.837903,-37.720241
Government,1,932,Bannockburn P-12 College,Pri/Sec,O,139 Milton Street,,Bannockburn,VIC,3331,139 Milton St,,BANNOCKBURN,VIC,3331,03 5281 1755,SOUTH-WESTERN VICTORIA,Central Highlands,249,Golden Plains (S),Non Metro,144.160668,-38.042004
Government,1,1549,Murtoa College,Pri/Sec,O,Webb Street,,Murtoa,VIC,3390,P O Box 156,,MURTOA,VIC,3390,03 5385 2381,SOUTH-WESTERN VICTORIA,Wimmera South West,763,Yarriambiack (S),Non Metro,142.475745,-36.623495
Government,1,1712,Pyramid Hill College,Pri/Sec,O,97-101 Kelly Street,,Pyramid Hill,VIC,3575,97-101 Kelly Street,,PYRAMID HILL,VIC,3575,03 5455 7377,NORTH-WESTERN VICTORIA,Loddon Campaspe,394,Loddon (S),Non Metro,144.113679,-36.04736
Government,1,3515,Mallacoota P-12 College,Pri/Sec,O,25 Bucknall Street,,Mallacoota,VIC,3892,Locked Bag 1001,,MALLACOOTA,VIC,3892,03 5158 0254,SOUTH-EASTERN VICTORIA,Outer Gippsland,211,East Gippsland (S),Non Metro,149.754296,-37.559427
Government,1,3920,Cann River P-12 College,Pri/Sec,O,20-24 Tamboon Road,,Cann River,VIC,3890,20-24 Tamboon,,CANN RIVER,VIC,3890,03 5158 6245,SOUTH-EASTERN VICTORIA,Outer Gippsland,211,East Gippsland (S),Non Metro,149.153022,-37.5697
Government,1,4159,Point Cook Prep - Year 9 College,Pri/Sec,O,18 - 50 Ponsford Drive,,Point Cook,VIC,3030,P O Box 6497,,POINT COOK,VIC,3030,03 8348 7100,SOUTH-WESTERN VICTORIA,Western Melbourne,726,Wyndham (C),Metro,144.7244931,-37.89380261
Government,1,5315,Baden Powell P-9 College,Pri/Sec,O,31 Sycamore Street,,Hoppers Crossing,VIC,3029,P O Box 4064,,HOPPERS CROSSING DC,VIC,3029,03 9748 8688,SOUTH-WESTERN VICTORIA,Western Melbourne,726,Wyndham (C),Metro,144.691019,-37.859838
Government,1,5375,Derrinallum P-12 College,Pri/Sec,O,Campbell Street,,Derrinallum,VIC,3325,Campbell Street,,DERRINALLUM,VIC,3325,03 5597 6625,SOUTH-WESTERN VICTORIA,Wimmera South West,183,Corangamite (S),Non Metro,143.216741,-37.939591
