suburb,avg_study_score,median_study_score,school_count,std_study_score,total_schools
Bundoora,26.0,26.0,1,,1
Burwood East,29.0,29.0,1,,1
CAMPERDOWN,27.0,27.0,1,,1
CANTERBURY,34.0,34.0,1,,1
CAROLINE SPRINGS,29.0,29.0,1,,1
CHARLEMONT,33.0,33.0,1,,1
CHIRNSIDE PARK,34.0,34.0,1,,1
CLYDE NORTH,29.0,29.0,1,,1
COBRAM,26.0,26.0,1,,1
COBURG,29.0,29.0,1,,1
COLAC,28.0,28.0,1,,1
CORIO,32.0,32.0,1,,1
CRANBOURNE,26.0,26.0,1,,1
CRANBOURNE EAST,30.0,30.0,1,,1
CROYDON HILLS,32.0,32.0,1,,1
Camperdown,28.0,28.0,1,,1
Cann River,24.0,24.0,1,,1
Canterbury,30.0,30.0,1,,1
Caroline Springs,27.0,27.0,1,,1
Casterton,28.0,28.0,1,,1
Castlemaine,26.0,26.0,1,,1
Caulfield East,31.0,31.0,1,,1
Charlton,30.0,30.0,1,,1
Cheltenham,28.0,28.0,1,,1
Clayton,36.0,36.0,1,,1
Clayton South,24.0,24.0,1,,1
Cobden,24.0,24.0,1,,1
Cobram,24.0,24.0,1,,1
Coburg,30.0,30.0,1,,1
Cohuna,28.0,28.0,1,,1
Colac,23.0,23.0,1,,1
Collingwood,28.0,28.0,1,,1
Corio,24.0,24.0,1,,1
Corryong,31.0,31.0,1,,1
Craigieburn,25.0,24.0,3,4.58,3
Cranbourne,25.5,25.5,2,2.12,2
Cranbourne North,29.0,29.0,1,,1
DANDENONG,27.0,27.0,1,,1
DONVALE,31.5,31.5,2,2.12,2
DOREEN,29.0,29.0,1,,1
DROUIN,29.5,29.5,2,2.12,2
Dandenong,25.0,25.0,1,,1
Dandenong North,26.0,26.0,1,,1
Daylesford,29.0,29.0,1,,1
Delahey,27.0,27.0,1,,1
Diamond Creek,25.0,25.0,1,,1
Dingee,28.0,28.0,1,,1
Donald,29.0,29.0,1,,1
Doncaster,32.0,32.0,1,,1
Doreen,26.0,26.0,1,,1
Dromana,32.0,32.0,1,,1
Drouin,25.0,25.0,1,,1
Drysdale,28.0,28.0,1,,1
EAST PRESTON,21.0,21.0,1,,1
ECHUCA,29.0,29.0,4,2.58,4
ELSTERNWICK,35.0,35.0,1,,1
ELWOOD,28.0,28.0,1,,1
ENDEAVOUR HILLS,31.0,31.0,1,,1
EPPING,30.0,30.0,2,1.41,2
ESSENDON,31.0,31.0,2,0.0,2
East Geelong,27.0,27.0,1,,1
Echuca,24.0,24.0,1,,1
Edenhope,25.0,25.0,1,,1
Eltham,29.0,29.0,1,,1
Eltham North,29.0,29.0,1,,1
Elwood,31.0,31.0,1,,1
Emerald,28.0,28.0,1,,1
Endeavour Hills,29.0,29.0,1,,1
Epping,28.0,28.0,1,,1
Essendon,29.0,29.0,1,,1
Euroa,26.0,26.0,1,,1
FAWKNER NORTH,31.0,31.0,1,,1
FERNTREE GULLY,29.0,29.0,4,2.58,4
FITZROY,32.0,32.0,1,,1
FRANKSTON,28.0,28.0,1,,1
Fitzroy North,28.0,28.0,1,,1
Footscray,29.0,29.0,1,,1
Foster,30.0,30.0,1,,1
Frankston,30.5,30.5,2,0.71,2
Frankston North,21.0,21.0,1,,1
GLEN IRIS,35.0,35.0,2,0.0,2
GLENROY,23.0,23.0,1,,1
GREENVALE,28.0,28.0,1,,1
GREENVALE LAKES,27.0,27.0,1,,1
Gisborne,27.0,27.0,1,,1
Glen Waverley,29.5,29.5,2,0.71,2
Grovedale,25.0,25.0,1,,1
HAMILTON,25.5,25.5,2,2.12,2
HAWTHORN,35.0,35.0,2,1.41,2
HAWTHORN EAST,24.0,24.0,1,,1
HEIDELBERG,32.0,32.0,1,,1
HERNE HILL,29.0,29.0,1,,1
HORSHAM,28.5,28.5,2,2.12,2
HUGHESDALE,32.0,32.0,1,,1
Hamilton,26.0,26.0,1,,1
Hawthorn East,31.0,31.0,1,,1
Healesville,27.0,27.0,1,,1
Heathmont,25.0,25.0,1,,1
Hopetoun,27.0,27.0,1,,1
Hoppers Crossing,25.0,25.0,1,,1
Horsham,29.0,29.0,1,,1
IVANHOE,34.0,34.0,3,1.0,3
