School,Small School,Locality,"Number of VCE, VCE Vocational Major (VM) studies and VCE VET programs at Units 3 and 4 level with enrolments ",Number of Vocational Education and Training (VET) certificates with enrolments,Enrolment(s) in the Victorian Pathways Certificate (VPC),Enrolment(s) in the International Baccalaureate (IB) Diploma,Enrolment(s) in Northern Hemisphere Timetable (NHT) delivery at Units 3 and 4 level ​,Number of students enrolled in at least one VCE or VCE Vocational Major (VM) study or VCE VET program at Units 3 and 4 level,Number of students enrolled in a Vocational Education and Training (VET) certificate,Percentage of VCE students applying for tertiary places through the Victorian Tertiary Admissions Centre (VTAC),Percentage of satisfactory VCE completions,Number of students awarded the VCE Vocational Major (VM),Number of students awarded the VCE (Baccalaureate),Percentage of Vocational Education and Training (VET) units of competency completed,Percentage of Higher Education studies (HES) completed,Median VCE study score,Percentage of study scores of 40 and over
Apollo Bay P-12 College,,APOLLO BAY,26,4,,,,44,30,64,100,< 4,-,85,-,30,10.7
Balcombe Grammar School,,MOUNT MARTHA,31,9,,,,171,21,76,100,-,4,100,I/D,30,5.2
Bayside Christian College,,LANGWARRIN SOUTH,36,22,,,,84,45,53,98,12,-,98,-,30,3.6
Beaumaris Secondary College,,BEAUMARIS,60,22,,,,266,42,77,99,10,5,72,I/D,30,5.9
Bentleigh Secondary College,,BENTLEIGH EAST,73,30,Y,,,253,116,64,92,16,< 4,74,89,30,5.6
Boort District P-12 School,,BOORT,30,14,,,,45,24,70,96,4,-,96,-,30,6.2
Brentwood Secondary College,,GLEN WAVERLEY,74,34,,,,436,107,83,100,15,20,87,100,30,5.9
Brighton Secondary College,,BRIGHTON EAST,58,24,Y,Y,,241,59,85,99,4,6,89,-,30,6.3
Brunswick Secondary College,,BRUNSWICK,52,21,,,,229,79,77,97,14,6,82,I/D,30,8.8
Camberwell High School,,CANTERBURY,55,19,,,,238,37,82,92,10,10,89,I/D,30,8.5
Casey Grammar School,,CRANBOURNE,37,14,,,,175,31,87,99,-,6,92,I/D,30,6.2
Charlton College,,CHARLTON,33,17,,,,28,23,56,94,6,-,49,-,30,1.6
Coburg High School,,COBURG,61,22,,,,266,80,83,99,13,7,78,I/D,30,8.0
Cornish College,,BANGHOLME,38,11,,,,145,23,92,100,-,6,96,I/D,30,6.8
Cranbourne East Sec College,,CRANBOURNE EAST,62,43,Y,,,404,404,61,97,117,< 4,81,-,30,3.5
De La Salle College,,MALVERN,46,16,,,,184,68,80,100,14,11,96,-,30,5.0
Elevation Secondary College,,CRAIGIEBURN,9,18,,,,55,100,-,-,-,-,66,-,30,9.4
Emmanuel College,,WARRNAMBOOL,55,31,Y,,,244,175,69,98,26,5,88,I/D,30,6.4
Foster Secondary College,,FOSTER,36,24,,,,54,59,45,90,7,-,64,-,30,3.0
Geelong Lutheran College,,ARMSTRONG CREEK,43,19,Y,,,119,36,61,100,10,< 4,75,I/D,30,6.2
Heathdale Christian College,,WERRIBEE,45,15,,,,164,125,96,100,8,11,92,-,30,5.6
Holy Trinity Lutheran College,,HORSHAM,30,15,,,,54,21,64,100,4,-,98,-,30,8.8
Hume Anglican Grammar,,MICKLEHAM,34,4,,,,166,6,92,100,-,7,95,-,30,9.4
Keilor Downs College,,KEILOR DOWNS,69,37,Y,,,275,199,82,96,35,19,71,-,30,5.2
Kew High School,,KEW EAST,55,24,,,,285,81,95,100,15,12,95,I/D,30,7.1
Killester College,,SPRINGVALE,43,9,Y,,,190,67,96,100,4,< 4,97,I/D,30,5.3
Lavalla Catholic College,,TRARALGON,50,23,Y,,,220,117,70,100,17,< 4,84,-,30,4.4
Lighthouse Christian College,,KEYSBOROUGH,32,10,,,,67,18,88,100,5,-,95,-,30,3.2
Lighthouse Christian College,,CRANBOURNE,18,2,,,,121,< 4,86,100,-,< 4,I/D,-,30,7.7
Loyola College,,WATSONIA,59,29,,,,294,143,82,99,30,14,92,-,30,4.7
Marian College Sunshine,,SUNSHINE WEST,43,24,,,,176,111,83,98,29,< 4,86,I/D,30,5.3
Maribyrnong Sec College,,MARIBYRNONG,52,21,,,,311,41,83,99,14,7,71,-,30,5.8
McClelland Secondary College,,FRANKSTON,51,38,,,,181,143,41,96,37,< 4,85,I/D,30,3.6
Mordialloc College,,MORDIALLOC,51,34,Y,,,204,111,77,99,18,< 4,78,-,30,7.0
Mortlake College,,MORTLAKE,21,15,,,,27,23,43,93,4,-,75,I/D,30,6.5
Mount Alexander 7-12 Coll,,FLEMINGTON,41,11,,,,119,16,86,90,8,-,72,-,30,4.8
Newhaven College,,RHYLL,32,5,,,,156,33,75,99,-,4,95,I/D,30,5.1
Northcote High School,,NORTHCOTE,76,30,,,,485,146,88,99,13,11,90,I/D,30,8.5
Northside Christian College,,BUNDOORA,38,20,,,,58,38,87,100,4,< 4,86,I/D,30,13.1
Nunawading Christian College,,NUNAWADING,18,4,,,,68,19,97,100,-,< 4,100,-,30,7.4
Parade College,,BUNDOORA,61,21,,,,506,365,73,99,63,19,86,I/D,30,4.8
Parkdale Secondary College,,MORDIALLOC,74,42,Y,,,362,222,57,99,22,16,97,I/D,30,5.9
Prahran High School,,WINDSOR,46,22,,,,169,48,80,97,< 4,6,79,-,30,5.3
Ringwood Secondary College,,RINGWOOD,81,39,,,,352,166,71,99,39,10,92,I/D,30,7.9
Sacred Heart College Geelong,,NEWTOWN,77,31,,,,421,169,76,100,11,8,90,75,30,7.4
Sacred Heart College Kyneton,,KYNETON,48,21,,,,183,160,81,100,15,4,81,-,30,3.2
Saint Ignatius College,,DRYSDALE,46,22,,,,258,80,73,100,21,< 4,91,I/D,30,7.3
Santa Maria College,,NORTHCOTE,45,17,Y,,,197,22,90,100,< 4,7,98,I/D,30,8.9
Simonds Catholic College,,WEST MELBOURNE,34,12,,,,94,22,83,98,10,6,80,-,30,6.5
Sirius College - Ibrahim Dellal,,SUNSHINE WEST,14,-,,,,88,-,98,100,-,< 4,-,-,30,7.3
St Bede's College,,MENTONE,61,30,,,,374,127,71,99,35,4,79,-,30,6.9
St Joseph's College,,NEWTOWN,65,37,Y,,,465,259,54,100,31,< 4,97,I/D,30,5.8
St Paul's Anglican Grammar Schl,,WARRAGUL,37,13,,,,147,52,80,100,-,6,96,-,30,6.7
Strathmore Secondary College,,STRATHMORE,64,19,,,,446,74,80,99,10,13,33,I/D,30,5.9
The Hamilton & Alexandra Coll,,HAMILTON,29,11,,,,125,42,79,100,-,< 4,99,I/D,30,3.7
The Lakes South Morang College,,SOUTH MORANG,25,19,,,,46,52,38,100,< 4,-,70,-,30,2.7
Thornbury High School,,THORNBURY,52,24,,,,258,111,82,93,13,6,79,100,30,6.0
Whitefriars College,,DONVALE,50,15,,,,238,89,80,99,12,< 4,95,I/D,30,7.0
Wycheproof P-12 College,,WYCHEPROOF,26,11,,,,26,17,50,100,< 4,-,83,-,30,2.6
Alkira Secondary College,,CRANBOURNE NORTH,61,34,Y,,,376,176,67,96,59,< 4,88,-,29,2.8
Aquinas College,,RINGWOOD,80,39,Y,,,383,183,76,99,34,5,71,I/D,29,5.1
Ballarat High School,,BALLARAT,59,44,Y,,,275,273,50,96,44,-,80,I/D,29,2.2
Beaconhills College,,PAKENHAM,46,7,,,,186,11,70,99,-,7,87,-,29,2.8
Belgrave Heights Christian Schl,,BELGRAVE HEIGHTS,46,22,,,,145,65,78,100,9,< 4,80,I/D,29,2.4
Belmont High School,,BELMONT,58,31,Y,,,277,208,55,97,12,< 4,94,94,29,4.5
Berwick Secondary College,,BERWICK,49,28,,,,334,136,61,97,36,-,94,I/D,29,2.6
Bright P-12 College,,BRIGHT,31,16,,,,60,49,44,97,4,< 4,100,-,29,5.1
Buckley Park College,,ESSENDON,50,21,,,,197,49,83,99,8,7,63,-,29,5.7
Cathedral College,,WANGARATTA,48,30,,,,137,116,64,100,-,4,84,-,29,4.5
Catholic College Sale,,SALE,34,17,Y,,,227,194,58,100,14,-,93,I/D,29,7.0
Christian College Institute,,WAURN PONDS,65,26,,,,278,93,76,98,14,< 4,99,I/D,29,5.1
Clonard College,,HERNE HILL,54,28,Y,,,224,99,69,100,21,< 4,88,I/D,29,5.4
Covenant College,,BELL POST HILL,36,18,,,,96,30,70,100,9,< 4,92,I/D,29,3.0
Damascus College,,MOUNT CLEAR,58,39,Y,,Y,232,238,64,99,28,< 4,81,-,29,3.7
Daylesford Secondary College,,DAYLESFORD,37,14,Y,,,87,61,49,97,13,< 4,83,-,29,3.5
Dimboola Memorial Sec College,,DIMBOOLA,19,12,Y,,,25,20,46,91,< 4,-,92,-,29,5.1
Donald High School,,DONALD,24,11,Y,,,32,23,64,100,5,-,62,I/D,29,8.3
Eltham High School,,ELTHAM,64,27,Y,,,343,99,66,99,4,10,84,100,29,5.3
Flinders Christian Comm College,,TYABB,45,22,,,,77,48,76,100,5,-,92,-,29,2.3
Flinders Christian Comm College,,CARRUM DOWNS,44,21,,,,109,28,74,100,7,-,93,-,29,4.6
Footscray High School,,FOOTSCRAY,49,17,,,,278,127,70,99,17,4,67,-,29,4.2
Forest Hill College,,BURWOOD EAST,44,20,,,,133,83,58,94,15,-,87,I/D,29,2.1
Gleneagles Secondary College,,ENDEAVOUR HILLS,66,30,Y,,,377,151,68,99,40,< 4,97,100,29,3.2
Hampton Park Sec College,,HAMPTON PARK,51,35,Y,,,226,196,50,95,57,-,67,-,29,1.8
Highvale Secondary College,,GLEN WAVERLEY,48,23,,,,234,38,86,98,-,9,81,-,29,7.3
Hillcrest Christian College,,CLYDE NORTH,46,23,,,,137,53,86,100,5,5,79,-,29,3.4
Horsham College,,HORSHAM,52,38,Y,,,199,178,38,93,23,< 4,96,-,29,5.2
Kerang Christian College,*,KERANG,9,-,,,,18,-,60,100,-,-,-,-,29,15.9
Kings College,,WARRNAMBOOL,18,8,,,,30,14,44,100,-,-,88,-,29,6.1
Leongatha Secondary College,,LEONGATHA,45,29,,,,129,109,60,99,28,-,79,-,29,1.0
Little Yarra Steiner School,*,YARRA JUNCTION,13,-,,,,14,-,23,100,-,-,-,-,29,0.0
MacKillop Catholic Reg College,,WERRIBEE,60,27,Y,,,319,193,72,98,36,5,90,I/D,29,4.8
Mansfield Secondary College,,MANSFIELD,42,26,Y,,,105,89,35,100,24,-,90,I/D,29,6.3
Marian College Ararat,,ARARAT,28,16,Y,,,90,64,71,100,10,-,80,I/D,29,4.3
Melbourne Rudolf Steiner Schl,,WARRANWOOD,23,-,,,,52,-,95,100,-,< 4,-,-,29,5.9
Mercy College,,COBURG,31,17,,,,106,28,97,89,< 4,-,89,-,29,6.2
Mount Eliza Sec College,,MOUNT ELIZA,38,29,Y,,,110,76,36,98,14,-,82,-,29,4.9
Mount Evelyn Christian School,,MOUNT EVELYN,38,23,,,,99,67,38,100,23,-,77,-,29,2.1
Mount Lilydale Mercy College,,LILYDALE,68,36,Y,,,330,231,74,100,38,< 4,92,100,29,2.7
Mt Hira College,,KEYSBOROUGH,19,3,,,,71,39,69,100,-,< 4,94,-,29,0.0
Norwood Secondary College,,RINGWOOD,48,28,,,,234,144,55,97,20,-,83,-,29,5.7
Ouyen P-12 College,*,OUYEN,20,8,,,,20,24,40,100,< 4,-,95,I/D,29,0.0
Padua College,,MORNINGTON,77,47,Y,,,488,309,62,99,45,< 4,84,-,29,4.6
Plenty Valley Christian College,,DOREEN,41,13,,,,106,44,71,97,-,< 4,92,I/D,29,5.1
Preston High School,,PRESTON,56,30,,,,196,77,94,97,5,6,87,I/D,29,4.7
Rosehill Secondary College,,NIDDRIE,47,21,,,,204,73,70,99,23,< 4,95,100,29,1.7
Sirius College - Meadow Fair,,BROADMEADOWS,19,1,,,,140,11,90,100,-,< 4,100,-,29,11.7
South Oakleigh Sec College,,OAKLEIGH SOUTH,50,27,,,,121,64,63,98,14,< 4,86,-,29,2.0
Southern Cross Grammar,,CAROLINE SPRINGS,37,11,,,,127,28,86,100,< 4,-,99,I/D,29,4.6
St Francis Catholic College,,MELTON,47,28,Y,,,211,246,72,99,18,-,81,-,29,3.0
St Helena Secondary College,,ELTHAM,67,33,Y,,,372,205,76,96,21,< 4,71,-,29,5.3
St Mary MacKillop College,,SWAN HILL,30,14,Y,,,93,110,69,100,8,-,93,-,29,5.0
St Mary's Coptic Orth College,,COOLAROO,23,3,,,,87,20,93,100,-,-,91,-,29,12.8
St Monica's College,,EPPING,66,33,Y,,,439,390,76,100,47,8,89,I/D,29,3.8
Swifts Creek P-12 School,*,SWIFTS CREEK,14,8,Y,,,11,13,33,100,< 4,-,88,-,29,7.1
Taylors Lakes Sec College,,TAYLORS LAKES,54,30,Y,,,281,179,80,99,40,< 4,84,I/D,29,4.4
Victoria University SC,,CAIRNLEA,49,29,,,,178,169,65,100,47,5,92,I/D,29,6.8
Victory Christian College,,STRATHDALE,48,19,,,,101,67,63,100,-,-,59,-,29,7.3
Wantirna College,,WANTIRNA,81,43,,,,296,181,65,100,40,< 4,78,I/D,29,3.6
Warracknabeal Sec College,,WARRACKNABEAL,26,16,Y,,,34,38,59,94,-,-,94,-,29,6.9
Wellington Secondary College,,MULGRAVE,59,31,Y,,,372,77,79,99,29,14,95,I/D,29,4.7
Aitken College,,GREENVALE,41,14,,,,160,97,91,99,8,< 4,99,-,28,4.6
Assumption College,,KILMORE,74,40,Y,,,310,237,57,100,24,-,82,-,28,2.2
Bass Coast College,,WONTHAGGI,58,34,,,,270,310,53,95,29,< 4,64,-,28,3.6
Bayside P-12 College,,NEWPORT,41,21,Y,,,139,118,59,99,32,< 4,81,I/D,28,2.3
Beechworth Secondary College,,BEECHWORTH,33,17,Y,,,50,37,60,96,-,-,50,I/D,28,6.5
Bellarine Secondary College,,DRYSDALE,53,33,,,,173,170,45,94,28,< 4,67,I/D,28,4.9
Box Hill Senior Sec College,,MONT ALBERT NORTH,42,22,,,,105,73,46,97,18,-,67,-,28,0.7
Brauer College,,WARRNAMBOOL,41,33,Y,,,205,162,43,96,16,< 4,94,I/D,28,3.7
Camperdown College,,CAMPERDOWN,18,18,Y,,,36,28,56,100,6,-,81,-,28,0.0
Casterton Secondary College,*,CASTERTON,19,8,Y,,,10,14,56,100,< 4,-,100,I/D,28,0.0
Catherine McAuley College,,BENDIGO,50,25,Y,,,353,269,72,98,21,< 4,85,I/D,28,5.3
Catholic College Wodonga,,WODONGA,45,14,Y,,,253,178,64,100,19,< 4,87,I/D,28,3.8
Catholic Regional College,,SYDENHAM,77,35,Y,,,711,487,75,99,45,< 4,88,I/D,28,2.7
Chairo Christian School,,NAR NAR GOON,36,21,,,,94,26,69,98,9,-,98,100,28,4.8
Cheltenham Secondary College,,CHELTENHAM,62,26,Y,,,230,57,74,99,16,9,74,I/D,28,2.1
Heatherton Christian College,,CLARINDA,23,7,,,,53,37,60,100,-,-,99,-,28,7.8
Cohuna Secondary College,,COHUNA,19,13,,,,41,22,67,100,< 4,-,82,-,28,4.2
Collingwood College,,FITZROY NORTH,54,19,Y,,,99,62,64,86,6,4,57,-,28,4.0
East Loddon P-12 College,,DINGEE,32,13,,,,28,21,65,88,< 4,-,64,-,28,1.7
Edinburgh College,,LILYDALE,21,7,,,,54,40,68,100,-,< 4,87,-,28,1.0
Emerald Secondary College,,EMERALD,38,20,Y,,,122,64,52,100,16,-,90,I/D,28,1.6
Emmanuel College,,ALTONA NORTH,67,33,Y,,,464,341,74,99,50,7,97,I/D,28,4.6
Epping Secondary College,,EPPING,51,28,Y,,,252,184,62,98,53,-,83,-,28,5.2
F.C.J. College,,BENALLA,50,21,Y,,,102,80,52,100,10,< 4,48,I/D,28,1.1
Fitzroy High School,,FITZROY NORTH,56,27,Y,,,130,58,74,93,6,-,62,I/D,28,3.7
Fountain Gate Sec College,,FOUNTAIN GATE,56,39,,,,306,337,55,97,60,-,85,-,28,1.8
Galen College,,WANGARATTA,44,26,,,,232,207,57,98,26,< 4,92,-,28,3.5
Hawkesdale College,,HAWKESDALE,16,12,Y,,,24,18,38,100,-,-,97,-,28,0.0
Holmes Grammar School,,MELBOURNE,16,1,,,,25,10,39,96,9,-,90,-,28,0.0
Hoppers Crossing Sec College,,HOPPERS CROSSING,51,28,,,,225,119,67,97,20,< 4,82,89,28,2.0
John Paul College,,FRANKSTON,44,34,,,,214,116,67,96,28,-,80,I/D,28,4.6
Keysborough SC - Acacia,,KEYSBOROUGH,56,30,,,,180,76,76,99,16,< 4,74,91,28,2.6
Macleod College,,MACLEOD,44,18,,,,115,45,78,97,9,< 4,89,-,28,1.8
Maffra Secondary College,,MAFFRA,23,13,,,,57,33,49,97,< 4,-,98,I/D,28,1.0
Marian College Myrtleford,,MYRTLEFORD,25,11,,,,22,12,71,100,< 4,< 4,100,-,28,7.6
Mary MacKillop Catholic College,,LEONGATHA,41,23,,,,130,139,62,99,16,-,87,-,28,6.5
Marymede Catholic College,,SOUTH MORANG,49,25,,,,222,135,77,100,20,9,92,-,28,3.3
Matthew Flinders Girls' SC,,GEELONG,48,21,Y,,,92,57,63,95,< 4,< 4,89,I/D,28,4.7
Mernda Central P-12 College,,MERNDA,44,39,,,,174,129,59,100,17,< 4,94,I/D,28,5.7
Minaret College,,OFFICER,17,-,,,,123,-,95,100,-,-,-,-,28,3.7
Mooroolbark College,,MOOROOLBARK,52,38,,,,220,154,53,91,27,-,64,I/D,28,2.1
Mount Rowan Secondary College,,WENDOUREE,32,21,,,,48,72,48,88,7,-,80,-,28,1.4
Murrayville Community College,*,MURRAYVILLE,15,2,,,,12,6,-,86,< 4,-,62,-,28,0.0
Nagle College,,BAIRNSDALE,45,28,,,,152,141,58,99,17,< 4,82,-,28,3.0
Nazareth College,,NOBLE PARK NORTH,42,25,Y,,,129,85,69,100,16,< 4,94,-,28,1.8
Notre Dame College,,SHEPPARTON,62,42,,,,358,653,61,99,52,< 4,86,I/D,28,4.1
Oberon High School,,ARMSTRONG CREEK,49,28,Y,,,168,87,50,97,12,5,71,-,28,4.0
Officer Secondary College,,OFFICER,61,38,Y,,,237,140,52,94,39,< 4,75,-,28,4.2
Penola Catholic College,,BROADMEADOWS,54,27,Y,,,295,331,76,99,29,5,77,-,28,3.1
Point Cook Senior Sec College,,POINT COOK,50,27,Y,,,291,212,71,99,50,< 4,80,-,28,4.0
Reservoir High School,,RESERVOIR,45,23,Y,,,150,99,62,94,13,< 4,90,-,28,3.8
Richmond High School,,RICHMOND,43,16,,,,178,37,78,94,-,< 4,71,-,28,6.2
Scoresby Secondary College,,SCORESBY,30,13,Y,,,38,32,48,100,8,-,72,-,28,5.6
Shepparton Christian College,,SHEPPARTON,24,8,,,,30,17,38,100,< 4,< 4,79,-,28,3.0
Sirius College - Keysborough,,KEYSBOROUGH,18,2,,,,88,< 4,100,100,-,< 4,I/D,-,28,6.9
Somerville Secondary College,,SOMERVILLE,39,22,,,,59,63,63,100,7,-,64,I/D,28,0.0
St Joseph's College,,ECHUCA,45,19,Y,,,197,202,65,95,5,-,86,-,28,1.0
St Mary's College Melbourne,,ST KILDA EAST,52,21,,,,115,35,68,97,12,< 4,87,-,28,3.3
St Patrick's College,,BALLARAT,45,18,,,,276,165,64,98,18,< 4,97,-,28,5.3
Sunbury Downs Sec College,,SUNBURY,26,17,Y,,,91,75,61,96,12,-,83,-,28,3.9
Surf Coast Sec College,,TORQUAY,56,40,,,,221,229,43,99,58,< 4,81,100,28,4.1
Swinburne Senior Sec College,,HAWTHORN,61,26,,,,247,76,65,96,13,< 4,75,I/D,28,3.7
Templestowe College,,TEMPLESTOWE LOWER,76,42,Y,,,351,174,50,98,40,< 4,90,I/D,28,7.0
Trinity College Colac,,COLAC,49,22,Y,,,170,101,57,99,17,< 4,91,-,28,1.3
Tyrrell College,*,SEA LAKE,17,8,Y,,,20,28,63,75,< 4,-,83,-,28,3.3
Victory Lutheran College,,WEST WODONGA,45,14,,,,121,78,49,100,4,-,82,I/D,28,1.8
Werribee Secondary College,,WERRIBEE,65,31,,Y,,306,155,83,95,17,10,73,I/D,28,5.2
Yarrawonga College P-12,,YARRAWONGA,33,21,,,,75,71,55,100,14,-,89,I/D,28,1.3
Yesodei HaTorah College,*,ORMOND,13,2,,,,16,24,63,100,-,< 4,89,-,28,7.9
Bayview College,,PORTLAND,28,14,Y,,,64,26,74,100,< 4,< 4,88,-,27,1.4
Beaufort Secondary College,,BEAUFORT,26,23,Y,,,38,53,32,88,8,-,60,-,27,0.0
Bendigo Senior Sec College,,BENDIGO,86,47,Y,,,1114,741,42,96,47,4,92,100,27,4.6
Boronia K-12 College,,BORONIA,30,18,Y,,,54,44,66,92,7,-,73,I/D,27,0.8
Box Hill Institute - CAE campus,,MELBOURNE,20,1,,,,107,< 4,47,81,-,-,I/D,-,27,3.1
Carwatha College P-12,,NOBLE PARK NORTH,44,23,,,,128,54,65,91,4,< 4,68,-,27,0.5
Copperfield College,,DELAHEY,63,34,Y,,,395,341,63,92,51,5,76,100,27,2.1
Geelong High School,,EAST GEELONG,46,25,,,,160,109,44,99,7,-,88,I/D,27,5.1
Gilson College,,TAYLORS HILL,37,8,Y,,,108,108,79,100,7,< 4,96,-,27,2.9
Gisborne Secondary College,,GISBORNE,68,41,Y,,,215,248,49,100,45,< 4,61,I/D,27,0.8
Gladstone Park Sec College,,GLADSTONE PARK,53,25,,,,309,163,71,97,26,-,68,-,27,3.9
Greensborough Sec College,,GREENSBOROUGH,33,14,,,,106,88,62,95,17,-,66,-,27,2.9
Healesville High School,,HEALESVILLE,33,21,,,,67,47,62,88,4,-,87,-,27,1.6
Heritage College,,OFFICER,20,9,,,,31,14,80,96,< 4,-,95,-,27,0.9
Homestead Senior Sec College,,POINT COOK,33,24,,,,138,39,72,99,11,< 4,97,-,27,2.9
Hopetoun P-12 College,*,HOPETOUN,16,11,Y,,,15,10,-,100,< 4,-,92,-,27,0.0
Hume Central Sec College,,BROADMEADOWS,40,25,Y,,,193,165,78,100,26,-,84,I/D,27,1.9
Ilim College,,BROADMEADOWS,20,-,,,,116,-,94,100,-,-,-,-,27,5.2
Ilim College Kiewa Campus,,DALLAS,20,7,,,,124,8,82,100,-,-,73,-,27,4.5
Kolbe Catholic College,,GREENVALE,45,21,Y,,,250,312,81,100,23,< 4,83,I/D,27,4.8
Koo Wee Rup Sec College,,KOO WEE RUP,46,27,,,,184,137,59,99,38,-,82,-,27,3.2
Kyneton Secondary College,,KYNETON,26,20,Y,,,113,124,46,100,12,< 4,100,-,27,1.3
Lakes Entrance Sec College,*,LAKES ENTRANCE,15,13,,,,18,28,15,90,10,-,100,-,27,0.0
Lakeview Senior College,,CAROLINE SPRINGS,66,35,Y,,,360,205,68,97,52,< 4,76,-,27,2.3
Lilydale High School,,LILYDALE,54,26,,,,252,116,45,100,16,< 4,88,I/D,27,2.0
Lyndhurst Secondary College,,CRANBOURNE,52,40,,,,134,164,46,98,26,-,51,I/D,27,1.5
Marist - Sion College,,WARRAGUL,52,31,,,,217,143,57,95,18,-,92,100,27,2.1
Marist College Bendigo,,MAIDEN GULLY,47,18,Y,,,181,113,64,99,12,< 4,90,I/D,27,2.8
Mercy Regional College,,CAMPERDOWN,29,19,,,,85,87,61,100,11,-,94,-,27,5.0
Mirboo North Sec College,,MIRBOO NORTH,32,29,Y,,,75,58,34,95,18,-,67,-,27,1.9
Monivae College,,HAMILTON,37,23,,,,127,131,43,97,20,-,99,-,27,1.2
Mornington Secondary College,,MORNINGTON,65,42,,,,245,220,44,98,39,< 4,69,-,27,4.3
Narre Warren Sth P-12 College,,NARRE WARREN SOUTH,45,38,,,,476,293,59,92,89,< 4,91,-,27,2.3
North Geelong Sec College,,NORTH GEELONG,58,37,Y,,,230,174,39,99,31,-,73,-,27,1.6
Northern College of Arts & Tech,,PRESTON EAST,53,29,,,,225,315,39,98,75,-,92,-,27,2.6
Pakenham Secondary College,,PAKENHAM,32,25,Y,,,152,106,73,99,22,-,82,I/D,27,1.2
Pascoe Vale Girls Sec College,,PASCOE VALE,43,22,,,,217,80,79,94,34,4,82,I/D,27,1.2
Patterson River Sec College,,SEAFORD,59,51,,,,220,151,46,98,39,-,96,-,27,2.2
Phoenix P-12 Comm Coll,,SEBASTOPOL,45,31,Y,,,189,198,44,98,44,-,93,-,27,1.9
Red Rock Christian College,*,SUNBURY,12,-,,,,19,-,27,100,-,-,-,-,27,0.0
Rochester Secondary College,,ROCHESTER,35,22,,,,55,83,56,100,5,-,75,I/D,27,0.9
Rosebud Secondary College,,ROSEBUD,38,24,Y,,,131,108,41,96,7,-,75,-,27,2.2
Sacred Heart College,,YARRAWONGA,29,14,Y,,,61,44,61,100,6,-,87,-,27,1.2
Salesian College Sunbury,,SUNBURY,61,31,Y,,,339,197,58,99,40,< 4,76,75,27,1.2
St Augustine's College,,KYABRAM,29,17,Y,,,88,40,70,98,7,-,87,-,27,1.5
St Brigid's College,,HORSHAM,27,12,Y,,,47,26,69,100,4,-,100,100,27,1.9
St Francis Xavier College,,BEACONSFIELD,80,40,Y,,,600,327,72,99,33,4,80,I/D,27,3.6
St John's Greek Orth College,,PRESTON,19,7,,,,23,7,76,100,-,< 4,91,-,27,1.3
St John's Regional College,,DANDENONG,39,21,,,,106,74,85,97,9,< 4,82,-,27,3.0
Sunbury College,,SUNBURY,45,25,,,,221,185,45,100,47,-,83,I/D,27,1.3
Tallangatta Secondary College,,TALLANGATTA,25,21,,,,43,62,24,100,13,-,100,-,27,0.0
Trafalgar High School,,TRAFALGAR,39,27,Y,,,183,79,53,99,15,-,91,I/D,27,5.9
Upper Yarra Secondary College,,YARRA JUNCTION,42,30,,,,143,111,64,94,15,-,80,I/D,27,2.1
Upwey High School,,UPWEY,61,31,,,,178,95,52,92,11,< 4,71,100,27,1.5
Virtual School Victoria,,THORNBURY,85,39,Y,,,565,113,34,90,-,-,82,88,27,3.3
Wheelers Hill Sec College,,WHEELERS HILL,45,21,,,,128,66,57,98,23,< 4,75,I/D,27,4.9
Woodmans Hill Secondary College,,BALLARAT EAST,31,26,Y,,,70,83,46,91,16,-,67,I/D,27,5.3
Al Iman College,,MELTON SOUTH,17,-,,,,32,-,71,100,-,-,-,-,26,0.8
Altona College,,ALTONA,31,15,,,,58,46,41,100,4,-,81,-,26,3.9
Antonine College,,PASCOE VALE SOUTH,25,12,,,,102,72,75,95,5,< 4,90,-,26,3.3
Ararat Secondary College,,ARARAT,28,20,,,,65,47,30,89,< 4,-,98,-,26,1.2
Baimbridge College,,HAMILTON,28,20,Y,,,59,73,30,85,10,-,90,-,26,0.0
Bairnsdale Secondary College,,BAIRNSDALE,41,28,Y,,,176,202,44,96,26,-,85,-,26,1.1
Bayswater Secondary College,,BAYSWATER,35,27,,,,47,70,44,93,9,-,53,I/D,26,0.0
Bundoora Secondary College,,BUNDOORA,41,31,Y,,,114,112,41,89,9,-,74,I/D,26,1.7
Castlemaine Secondary College,,CASTLEMAINE,48,19,Y,,,154,114,46,93,4,< 4,59,I/D,26,2.1
Cobram Anglican Grammar School,,COBRAM,25,17,,,,37,47,63,100,-,< 4,83,-,26,1.1
Edgars Creek Secondary College,,WOLLERT,38,29,Y,,,189,123,61,88,26,< 4,67,I/D,26,1.0
Essendon Keilor College,,ESSENDON,32,25,Y,,,132,96,65,97,35,< 4,71,-,26,2.3
Euroa Secondary College,,EUROA,36,29,,,,95,106,39,90,9,-,82,-,26,2.8
Fairhills High School,,KNOXFIELD,36,25,,,,70,63,56,93,14,< 4,89,I/D,26,0.0
Hazel Glen College,,DOREEN,47,39,Y,,,285,286,58,99,43,-,91,I/D,26,2.7
Heywood & District Sec College,*,HEYWOOD,21,11,Y,,,16,17,-,89,< 4,-,100,-,26,0.0
Highview Christian Comm College,,MARYBOROUGH,30,13,,,,69,44,52,100,12,-,96,-,26,5.5
Kerang Technical High School,,KERANG,26,15,Y,,,36,45,41,100,-,-,65,I/D,26,2.6
Keysborough SC - Banksia,,SPRINGVALE SOUTH,49,25,Y,,,184,84,73,100,7,4,70,-,26,2.3
