suburb,avg_study_score,median_study_score,school_count,std_study_score,total_schools
HORSHAM,28.5,28.5,2,2.12,2
HUGHESDALE,32.0,32.0,1,,1
HAMILTON,26.0,26.0,1,,1
HAWTHORN EAST,31.0,31.0,1,,1
HEALESVILLE,27.0,27.0,1,,1
HEATHMONT,25.0,25.0,1,,1
HOPETOUN,27.0,27.0,1,,1
HOPPERS CROSSING,25.0,25.0,1,,1
HORSHAM,29.0,29.0,1,,1
IVANHOE,34.0,34.0,3,1.0,3
KERANG,29.0,29.0,1,,1
KEW,34.67,34.0,3,2.08,3
KEYSBOROUGH,31.25,30.0,4,3.2,4
KIALLA,25.0,25.0,1,,1
KILMORE,28.0,28.0,1,,1
KYABRAM,27.0,27.0,1,,1
KYNETON,27.0,27.0,1,,1
KEILOR EAST,26.0,26.0,1,,1
KERANG,26.0,26.0,1,,1
KEW EAST,30.0,30.0,1,,1
KNOXFIELD,26.0,26.0,1,,1
KURUNJANG,24.0,24.0,1,,1
KYABRAM,23.0,23.0,1,,1
LAKE GARDENS,29.0,29.0,1,,1
LANGWARRIN SOUTH,30.5,30.5,2,0.71,2
LILYDALE,28.5,28.5,2,0.71,2
LOVELY BANKS,24.0,24.0,1,,1
LALOR,26.0,26.0,1,,1
LANGWARRIN,31.0,31.0,1,,1
LARA,25.0,25.0,1,,1
LAVERTON,24.0,24.0,1,,1
LEONGATHA,29.0,29.0,1,,1
LILYDALE,26.5,26.5,2,0.71,2
LORNE,23.0,23.0,1,,1
MACEDON,32.0,32.0,1,,1
MAIDEN GULLY,27.0,27.0,1,,1
MALVERN,30.0,30.0,1,,1
MELBOURNE,29.4,31.0,5,5.98,5
MELTON,29.0,29.0,1,,1
MELTON SOUTH,26.0,26.0,1,,1
MELTON WEST,31.0,31.0,1,,1
MENTONE,33.25,33.5,4,2.75,4
MICKLEHAM,30.0,30.0,1,,1
MOOROOLBARK,31.0,31.0,1,,1
MORNINGTON,29.0,29.0,1,,1
MOUNT CLEAR,29.0,29.0,1,,1
MOUNT WAVERLEY,32.0,32.0,1,,1
MT ELIZA,33.5,33.5,2,0.71,2
MT MARTHA,30.0,30.0,1,,1
MT WAVERLEY,37.0,37.0,1,,1
MULGRAVE,33.0,33.0,1,,1
MACLEOD,28.0,28.0,1,,1
MACLEOD WEST,24.0,24.0,1,,1
MAFFRA,28.0,28.0,1,,1
MALLACOOTA,33.0,33.0,1,,1
MANSFIELD,29.0,29.0,1,,1
MARYBOROUGH,26.0,26.0,1,,1
MCKINNON,33.0,33.0,1,,1
MELTON,24.0,24.0,1,,1
MELTON SOUTH,25.0,25.0,1,,1
MERNDA,28.0,28.0,1,,1
MILDURA,26.0,26.0,1,,1
MILL PARK,26.0,26.0,1,,1
MONBULK,25.0,25.0,1,,1
MONT ALBERT NORTH,32.0,32.0,1,,1
MOOROOLBARK,28.0,28.0,1,,1
MORDIALLOC,30.0,30.0,2,0.0,2
MORNINGTON,27.0,27.0,1,,1
MORWELL,24.0,24.0,1,,1
MOUNT CLEAR,26.0,26.0,1,,1
MULGRAVE,29.0,29.0,1,,1
MURRAYVILLE,28.0,28.0,1,,1
MYRTLEFORD,24.0,24.0,1,,1
NARRE WARREN SOUTH,27.0,27.0,1,,1
NEWTOWN,30.0,30.0,2,4.24,2
NOBLE PARK NORTH,28.0,28.0,1,,1
NORTH MELBOURNE,31.0,31.0,1,,1
NORTHCOTE,30.0,30.0,1,,1
NATHALIA,20.0,20.0,1,,1
NEWBOROUGH,26.0,26.0,1,,1
NEWCOMB,25.0,25.0,1,,1
NHILL,23.0,23.0,1,,1
NIDDRIE,29.0,29.0,1,,1
NOBLE PARK,26.0,26.0,2,1.41,2
NORTHCOTE,30.0,30.0,1,,1
NUMURKAH,24.0,24.0,1,,1
OAKLEIGH,31.0,31.0,1,,1
ORMOND,33.0,33.0,1,,1
OFFICER,28.0,28.0,1,,1
OUYEN,29.0,29.0,1,,1
PAKENHAM,30.0,30.0,2,1.41,2
PASCOE VALE SOUTH,26.0,26.0,1,,1
PORTLAND,27.0,27.0,1,,1
PAKENHAM,27.0,27.0,1,,1
PARKVILLE,31.0,31.0,1,,1
PORTLAND,24.0,24.0,1,,1
PRESTON,29.0,29.0,1,,1
RESEARCH,31.0,31.0,1,,1
RHYLL,30.0,30.0,1,,1
RINGWOOD,29.0,29.0,1,,1
RINGWOOD EAST,34.0,34.0,1,,1
RAINBOW,24.0,24.0,1,,1
RED CLIFFS,23.0,23.0,1,,1
RESERVOIR,28.0,28.0,1,,1
RICHMOND,28.0,28.0,1,,1
RINGWOOD,29.5,29.5,2,0.71,2
ROBINVALE,23.0,23.0,1,,1
ROCHESTER,27.0,27.0,1,,1
ROSEBUD,27.0,27.0,1,,1
ROWVILLE,25.0,25.0,1,,1
ROXBURGH PARK,23.0,23.0,1,,1
RUTHERGLEN,21.0,21.0,1,,1
SALE,30.0,30.0,2,1.41,2
SEBASTOPOL,25.0,25.0,1,,1
SEYMOUR,36.0,36.0,1,,1
SHEPPARTON,28.0,28.0,1,,1
SOUTH MORANG,28.0,28.0,1,,1
SOUTH YARRA,36.0,36.0,1,,1
