avg_study_score,school_count,total_schools,suburb,SA2_NAME16
,0,0,BARKLY,BARKLY
,0,0,BARKSTEAD,BARKSTEAD
,0,0,BARMAH,BARMAH
,0,0,BARNADOWN,BARNADOWN
,0,0,BARNAWARTHA,BARNAWARTHA
,0,0,BARNAWARTHA NORTH,BARNAWARTHA NORTH
,0,0,BAROMI,BAROMI
,0,0,BARONGAROOK,BARONGAROOK
,0,0,BARONGAROOK WEST,BARONGAROOK WEST
,0,0,BARRABOOL,BARRABOOL
,0,0,BARRAKEE,BARRAKEE
,0,0,BARRAMUNGA,BARRAMUNGA
,0,0,BARRAPORT,BARRAPORT
,0,0,BARRAPORT WEST,BARRAPORT WEST
,0,0,BARRYS REEF,BARRYS REEF
,0,0,BARUNAH PARK,BARUNAH PARK
,0,0,BARUNAH PLAINS,BARUNAH PLAINS
,0,0,BARWIDGEE,BARWIDGEE
,0,0,BARWITE,BARWITE
,0,0,BARWON DOWNS,BARWON DOWNS
,0,0,BARWON HEADS,BARWON HEADS
,0,0,BASALT,BASALT
,0,0,BASS,BASS
,0,0,BATESFORD,BATESFORD
,0,0,BATHUMI,BATHUMI
,0,0,BAW BAW,BAW BAW
,0,0,BAW BAW VILLAGE,BAW BAW VILLAGE
,0,0,BAXTER,BAXTER
,0,0,BAYINDEEN,BAYINDEEN
,0,0,BAYLES,BAYLES
,0,0,BAYNTON,BAYNTON
,0,0,BAYNTON EAST,BAYNTON EAST
26.0,1,1,BAYSWATER,BAYSWATER
,0,0,BAYSWATER NORTH,BAYSWATER NORTH
27.0,1,1,BEACONSFIELD,BEACONSFIELD
,0,0,BEACONSFIELD UPPER,BEACONSFIELD UPPER
,0,0,BEALIBA,BEALIBA
,0,0,BEARII,BEARII
,0,0,BEARS LAGOON,BEARS LAGOON
,0,0,BEAUCHAMP,BEAUCHAMP
27.0,1,1,BEAUFORT,BEAUFORT
30.0,1,1,BEAUMARIS,BEAUMARIS
,0,0,BEAZLEYS BRIDGE,BEAZLEYS BRIDGE
,0,0,BEEAC,BEEAC
,0,0,BEECH FOREST,BEECH FOREST
28.0,1,1,BEECHWORTH,BEECHWORTH
,0,0,BEENAK,BEENAK
31.0,1,1,BELGRAVE,BELGRAVE
,0,0,BELGRAVE HEIGHTS,BELGRAVE HEIGHTS
,0,0,BELGRAVE SOUTH,BELGRAVE SOUTH
,0,0,BELL PARK,BELL PARK
29.0,1,1,BELL POST HILL,BELL POST HILL
,0,0,BELLARINE,BELLARINE
,0,0,BELLBIRD CREEK,BELLBIRD CREEK
,0,0,BELLBRAE,BELLBRAE
,0,0,BELLBRIDGE,BELLBRIDGE
,0,0,BELLELLEN,BELLELLEN
,0,0,BELLFIELD,BELLFIELD
,0,0,BELLFIELD,BELLFIELD
,0,0,BELLS BEACH,BELLS BEACH
29.0,1,1,BELMONT,BELMONT
,0,0,BEMM RIVER,BEMM RIVER
,0,0,BENA,BENA
24.0,1,1,BENALLA,BENALLA
,0,0,BENAMBRA,BENAMBRA
,0,0,BENAYEO,BENAYEO
,0,0,BEND OF ISLANDS,BEND OF ISLANDS
29.5,2,2,BENDIGO,BENDIGO
,0,0,BENDOC,BENDOC
,0,0,BENGWORDEN,BENGWORDEN
,0,0,BENJEROOP,BENJEROOP
,0,0,BENLOCH,BENLOCH
,0,0,BENNISON,BENNISON
,0,0,BENTLEIGH,BENTLEIGH
30.0,1,1,BENTLEIGH EAST,BENTLEIGH EAST
,0,0,BENWERRIN,BENWERRIN
,0,0,BEREMBOKE,BEREMBOKE
,0,0,BERRIMAL,BERRIMAL
,0,0,BERRINGA,BERRINGA
,0,0,BERRINGAMA,BERRINGAMA
,0,0,BERRIWILLOCK,BERRIWILLOCK
,0,0,BERRYBANK,BERRYBANK
,0,0,BERRYS CREEK,BERRYS CREEK
32.0,3,3,BERWICK,BERWICK
,0,0,BESSIEBELLE,BESSIEBELLE
,0,0,BET BET,BET BET
,0,0,BETE BOLONG,BETE BOLONG
,0,0,BETE BOLONG NORTH,BETE BOLONG NORTH
,0,0,BETHANGA,BETHANGA
,0,0,BETLEY,BETLEY
,0,0,BEULAH,BEULAH
,0,0,BEVERFORD,BEVERFORD
,0,0,BEVERIDGE,BEVERIDGE
,0,0,BIG DESERT,BIG DESERT
,0,0,BIG HILL,BIG HILL
,0,0,BIG HILL,BIG HILL
,0,0,BIG PATS CREEK,BIG PATS CREEK
,0,0,BIGGARA,BIGGARA
,0,0,BILLABONG,BILLABONG
,0,0,BIMBOURIE,BIMBOURIE
,0,0,BINDI,BINDI
,0,0,BINGINWARRI,BINGINWARRI
,0,0,BINGO MUNJIE,BINGO MUNJIE
31.0,1,1,BIRCHIP,BIRCHIP
,0,0,BIRCHIP WEST,BIRCHIP WEST
,0,0,BIRDWOODTON,BIRDWOODTON
,0,0,BIRREGURRA,BIRREGURRA
,0,0,BITTERN,BITTERN
,0,0,BLACK HILL,BLACK HILL
,0,0,BLACK RANGE,BLACK RANGE
,0,0,BLACK ROCK,BLACK ROCK
31.0,1,1,BLACKBURN,BLACKBURN
,0,0,BLACKBURN NORTH,BLACKBURN NORTH
,0,0,BLACKBURN SOUTH,BLACKBURN SOUTH
,0,0,BLACKHEATH,BLACKHEATH
,0,0,BLACKWARRY,BLACKWARRY
,0,0,BLACKWOOD,BLACKWOOD
,0,0,BLAIRGOWRIE,BLAIRGOWRIE
,0,0,BLAKEVILLE,BLAKEVILLE
,0,0,BLAMPIED,BLAMPIED
,0,0,BLIND BIGHT,BLIND BIGHT
,0,0,BLOWHARD,BLOWHARD
,0,0,BO PEEP,BO PEEP
,0,0,BOBINAWARRAH,BOBINAWARRAH
,0,0,BOCHARA,BOCHARA
,0,0,BOGONG,BOGONG
,0,0,BOHO,BOHO
